"id","code","name"
classification_6523,"6523","Servicios de seguros sociales en riesgos familia"
classification_6531,"6531","Régimen de prima media con prestación definida (RPM)"
classification_6532,"6532","Régimen de ahorro individual (RAI)"
classification_6611,"6611","Administración de mercados financieros"
classification_6612,"6612","Corretaje de valores y de contratos de productos básicos"
classification_6613,"6613","Otras actividades relacionadas con el mercado de valores"
classification_6614,"6614","Actividades de las casas de cambio"
classification_6615,"6615","Actividades de los profesionales de compra y venta de divisas"
classification_6619,"6619","Otras actividades auxiliares de las actividades de servicios financieros n.c.p."
classification_6621,"6621","Actividades de agentes y corredores de seguros"
classification_6629,"6629","Evaluación de riesgos y daños, y otras actividades de servicios auxiliares"
classification_6630,"6630","Actividades de administración de fondos"
classification_6810,"6810","Actividades inmobiliarias realizadas con bienes propios o arrendados"
classification_6820,"6820","Actividades inmobiliarias realizadas a cambio de una retribución o por contrata"
classification_6910,"6910","Actividades jurídicas"
classification_6920,"6920","Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria"
classification_7010,"7010","Actividades de administración empresarial"
classification_7020,"7020","Actividades de consultaría de gestión"
classification_7111,"7111","Actividades de arquitectura"
classification_7112,"7112","Actividades de ingeniería y otras actividades conexas de consultoría técnica"
classification_7120,"7120","Ensayos y análisis técnicos"
classification_7210,"7210","Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería"
classification_7220,"7220","Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades"
classification_7310,"7310","Publicidad"
classification_7320,"7320","Estudios de mercado y realización de encuestas de opinión pública"
classification_7410,"7410","Actividades especializadas de diseño"
classification_7420,"7420","Actividades de fotografía"
classification_7490,"7490","Otras actividades profesionales, científicas y técnicas n.c.p."
classification_7500,"7500","Actividades veterinarias"
classification_7710,"7710","Alquiler y arrendamiento de vehículos automotores"
classification_7721,"7721","Alquiler y arrendamiento de equipo recreativo y deportivo"
classification_7722,"7722","Alquiler de videos y discos"
classification_7729,"7729","Alquiler y arrendamiento de otros efectos personales y enseres domésticos n.c.p."
classification_7730,"7730","Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p."
classification_7740,"7740","Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor"
classification_7810,"7810","Actividades de agencias de empleo"
classification_7820,"7820","Actividades de agencias de empleo temporal"
classification_7830,"7830","Otras actividades de suministro de recurso humano"
classification_7911,"7911","Actividades de las agencias de viaje"
classification_7912,"7912","Actividades de operadores turísticos"
classification_7990,"7990","Otros servicios de reserva y actividades relacionadas"
classification_8010,"8010","Actividades de seguridad privada"
classification_8020,"8020","Actividades de servicios de sistemas de seguridad"
classification_8030,"8030","Actividades de detectives e investigadores privados"
classification_8110,"8110","Actividades combinadas de apoyo a instalaciones"
classification_8121,"8121","Limpieza general interior de edificios"
classification_8129,"8129","Otras actividades de limpieza de edificios e instalaciones industriales"
classification_8130,"8130","Actividades de paisajismo y servicios de mantenimiento conexos"
classification_8211,"8211","Actividades combinadas de servicios administrativos de oficina"
classification_8219,"8219","Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo a oficina"
classification_8220,"8220","Actividades de centros de llamadas (Call center)"
classification_8230,"8230","Organización de convenciones y eventos comerciales"
classification_8291,"8291","Actividades de agencias de cobranza y oficinas de calificación crediticia"
classification_8292,"8292","Actividades de envase y empaque"
classification_8299,"8299","Otras actividades de servicio de apoyo a las empresas n.c.p."
classification_8411,"8411","Actividades legislativas de la administración pública"
classification_8412,"8412","Actividades ejecutivas de la administración pública"
